movie,year,view rating,genre,IMDb rating,metascore,posters
Amores perros,2000,18A,"Drama, Thriller            ",8.1,83,"https://m.media-amazon.com/images/M/MV5BMWJhOTg5MWQtYTJjMi00YmFkLTg4ODgtYmU2YWVhODQ4ZDM3XkEyXkFqcGdeQXVyMTAwMzUyOTc@._V1_UX67_CR0,0,67,98_AL_.jpg"
Traffic,2000,14A,"Crime, Drama, Thriller            ",7.6,86,"https://m.media-amazon.com/images/M/MV5BNDA2YjNkMjEtZjcwNy00ZTc5LWEzNDItMjE0ODlmMDAzNDFkXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UY98_CR0,0,67,98_AL_.jpg"
Remember the Titans,2000,PG,"Biography, Drama, Sport            ",7.8,48,"https://m.media-amazon.com/images/M/MV5BYThkMzgxNjEtMzFiOC00MTI0LWI5MDItNDVmYjA4NzY5MDQ2L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX67_CR0,0,67,98_AL_.jpg"
How the Grinch Stole Christmas,2000,G,"Comedy, Family, Fantasy            ",6.1,46,"https://m.media-amazon.com/images/M/MV5BNWNiNTczNzEtMjQyZC00MjFmLTkzMDMtODk4ZGMyZmE0N2E4XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UX67_CR0,0,67,98_AL_.jpg"
What Women Want,2000,PG,"Comedy, Fantasy, Romance            ",6.4,47,"https://m.media-amazon.com/images/M/MV5BZjUyZWE5YmMtNDA2ZC00NzFlLTg0MzktOTgzYjA2ZWE3NmIwXkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_UY98_CR1,0,67,98_AL_.jpg"
Chocolat,2000,PG,"Drama, Romance            ",7.3,64,"https://m.media-amazon.com/images/M/MV5BNDg3NjA5NzYtYzE2OS00NzZiLTg2YTUtMmJkZDFmYjg5NjgwXkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_UX67_CR0,0,67,98_AL_.jpg"
Miss Congeniality,2000,PG,"Action, Comedy, Crime            ",6.2,43,"https://m.media-amazon.com/images/M/MV5BZDhjNzc4N2MtNWE5ZC00N2M4LWFiYjEtMTE5YmYyMTg3OGY5XkEyXkFqcGdeQXVyMTkzODUwNzk@._V1_UX67_CR0,0,67,98_AL_.jpg"
Chicken Run,2000,G,"Animation, Adventure, Comedy            ",7.0,88,"https://m.media-amazon.com/images/M/MV5BY2UyYjFkNzAtYzIyMC00MGI1LTlkNDktNzUyOGQ5NTI2ZGFjXkEyXkFqcGdeQXVyNTUyMzE4Mzg@._V1_UY98_CR0,0,67,98_AL_.jpg"
Charlie's Angels,2000,PG,"Action, Adventure, Comedy            ",5.5,52,"https://m.media-amazon.com/images/M/MV5BMGI1NTM5MTItNDcxMS00YTIwLTg1NjUtNzE5ZGE5NDkxMmU4XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX67_CR0,0,67,98_AL_.jpg"
Batoru rowaiaru,2000,R,"Adventure, Drama, Sci-Fi            ",7.7,81,"https://m.media-amazon.com/images/M/MV5BMTgxMmJhNjItMmFlMS00MWVlLWIyMjktYjUyYTI4MzA0YzgxXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UY98_CR1,0,67,98_AL_.jpg"
The Emperor's New Groove,2000,G,"Animation, Adventure, Comedy            ",7.3,70,"https://m.media-amazon.com/images/M/MV5BNzk1ZDcwY2YtMzRhZi00OTYwLTkzMmYtMGMwN2Y3ZjM1MTM0XkEyXkFqcGdeQXVyNTUyMzE4Mzg@._V1_UX67_CR0,0,67,98_AL_.jpg"
High Fidelity,2000,R,"Comedy, Drama, Music            ",7.5,79,"https://m.media-amazon.com/images/M/MV5BMTgxMTI1ODYyOV5BMl5BanBnXkFtZTYwNjQyOTI3._V1_UY98_CR2,0,67,98_AL_.jpg"
Erin Brockovich,2000,14A,"Biography, Drama            ",7.3,73,"https://m.media-amazon.com/images/M/MV5BYTA1NWRkNTktNDMxNS00NjE4LWEzMDAtNzA3YzlhYzRhNDA4L2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX67_CR0,0,67,98_AL_.jpg"
Road Trip,2000,14A,"Adventure, Comedy            ",6.5,55,"https://m.media-amazon.com/images/M/MV5BODA4ZGRhZjgtMTYwMy00MDQzLTkxNTUtYTYwZjE5NDRiZTRjL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX67_CR0,0,67,98_AL_.jpg"
The Perfect Storm,2000,PG-13,"Action, Adventure, Drama            ",6.4,59,"https://m.media-amazon.com/images/M/MV5BOGU2MWRiYmQtMDY1MS00OTUzLTkzYTktYjE5YTE4MTI0NzRkL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX67_CR0,0,67,98_AL_.jpg"
"Dude, Where's My Car?",2000,PG,"Comedy, Mystery, Sci-Fi            ",5.5,30,"https://m.media-amazon.com/images/M/MV5BNzRmN2NjNzktOWE1My00NjVlLWFhNjYtZmFkMzM5YTA2ZTFlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX67_CR0,0,67,98_AL_.jpg"
Hollow Man,2000,18A,"Action, Horror, Sci-Fi            ",5.7,24,"https://m.media-amazon.com/images/M/MV5BZTM1MjM2Y2QtOTMyOS00ZTE4LWFiZTEtMjBjMjg3NmE0ZjMxXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UY98_CR2,0,67,98_AL_.jpg"
Billy Elliot,2000,PG,"Drama, Music, Romance            ",7.7,74,"https://m.media-amazon.com/images/M/MV5BNGY3NWYwNzctNWU5Yi00ZjljLTgyNDgtZjNhZjRlNjc0ZTU1XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX67_CR0,0,67,98_AL_.jpg"
Scream 3,2000,14A,"Horror, Mystery            ",5.6,56,"https://m.media-amazon.com/images/M/MV5BMDljNmI1YzctNjJlZC00NzZlLWFlZTgtMDE4MjJiMDk0ZGY4XkEyXkFqcGdeQXVyMjg3MDQ0Mjk@._V1_UX67_CR0,0,67,98_AL_.jpg"
Shanghai Noon,2000,PG,"Action, Adventure, Comedy            ",6.6,77,"https://m.media-amazon.com/images/M/MV5BMTI0MjE2MzUwOV5BMl5BanBnXkFtZTYwMTk5NjU3._V1_UX67_CR0,0,67,98_AL_.jpg"
The 6th Day,2000,14A,"Action, Mystery, Sci-Fi            ",5.9,49,"https://m.media-amazon.com/images/M/MV5BMTk1OTU5OTU2MV5BMl5BanBnXkFtZTYwMjMxMDk2._V1_UX67_CR0,0,67,98_AL_.jpg"
What Lies Beneath,2000,14A,"Drama, Fantasy, Horror            ",6.6,51,"https://m.media-amazon.com/images/M/MV5BNTY4NjNkMTMtNTEyOC00NDBiLWFkZjMtZDkwYzU3OTFjOTkzXkEyXkFqcGdeQXVyNTUyMzE4Mzg@._V1_UX67_CR0,0,67,98_AL_.jpg"
Pay It Forward,2000,PG,Drama            ,7.2,40,"https://m.media-amazon.com/images/M/MV5BNjI3ODI5NDEwMl5BMl5BanBnXkFtZTYwNDYyMjU3._V1_UX67_CR0,0,67,98_AL_.jpg"
Faa yeung nin wa,2000,PG,"Drama, Romance            ",8.1,85,"https://m.media-amazon.com/images/M/MV5BMDJkYjRiMTgtYjBhNi00ZjQwLWI3MWItNTZkY2MzNjcxNzM5XkEyXkFqcGdeQXVyNzI1NzMxNzM@._V1_UX67_CR0,0,67,98_AL_.jpg"
The Whole Nine Yards,2000,14A,"Comedy, Crime            ",6.7,47,"https://m.media-amazon.com/images/M/MV5BMjA4Nzk4NzU4MF5BMl5BanBnXkFtZTYwNzU0MDc3._V1_UX67_CR0,0,67,98_AL_.jpg"
Coyote Ugly,2000,PG,"Comedy, Drama, Music            ",5.7,27,"https://m.media-amazon.com/images/M/MV5BZWZhZmFkMjQtMWYyMC00NmQ3LTk5M2MtZDU3ZjNjYmM0ZTYxXkEyXkFqcGdeQXVyNjE5MjUyOTM@._V1_UX67_CR0,0,67,98_AL_.jpg"
Men of Honor,2000,R,"Biography, Drama            ",7.2,56,"https://m.media-amazon.com/images/M/MV5BMTc1Njk1NTE3NF5BMl5BanBnXkFtZTgwNjAyMzcxMTE@._V1_UY98_CR0,0,67,98_AL_.jpg"
The Family Man,2000,PG-13,"Comedy, Drama, Fantasy            ",6.8,42,"https://m.media-amazon.com/images/M/MV5BYzYzMTQ4NDYtNWRkZi00NTYxLThlZDItMzI1MmU1MmU5ZWQ3XkEyXkFqcGdeQXVyNDA5Mjg5MjA@._V1_UY98_CR1,0,67,98_AL_.jpg"
